Year,Month,Plant,Type of Water,MG Treated
2015,Mar,Ullrich,Water,1402.81
2015,Mar,Water Treatment Plant 4,Water,595.66
2015,Mar,Davis,Water,1209.82
2015,Apr,Walnut Creek Plant,Wastewater,1710.43
2015,Apr,SAR Plant,Wastewater,1424.8
2015,Apr,Ullrich,Water,1644.98
2015,Apr,Water Treatment Plant 4,Water,674.93
2015,Apr,Davis,Water,1081.17
2015,May,SAR Plant,Wastewater,2017.66
2015,May,Walnut Creek Plant,Wastewater,3271.27
2015,May,Water Treatment Plant 4,Water,527.36
2015,May,Ullrich,Water,1550.41
2015,May,Davis,Water,1253.48
2015,Jun,Walnut Creek Plant,Wastewater,2467.22
2015,Jun,SAR Plant,Wastewater,1690.45
2015,Jun,Water Treatment Plant 4,Water,567.2
2015,Jun,Ullrich,Water,1748.03
2015,Jun,Davis,Water,1185.71
2015,Jul,Walnut Creek Plant,Wastewater,1729.44
2015,Jul,SAR Plant,Wastewater,1455.25
2015,Jul,Ullrich,Water,2103.03
2015,Jul,Davis,Water,1651.98
2015,Jul,Water Treatment Plant 4,Water,819.27
2015,Aug,Walnut Creek Plant,Wastewater,1549.5
2015,Aug,SAR Plant,Wastewater,1396.76
2015,Aug,Water Treatment Plant 4,Water,737.93
2015,Aug,Davis,Water,2318.79
2015,Aug,Ullrich,Water,2308.57
2015,Sep,SAR Plant,Wastewater,1317
2015,Sep,Walnut Creek Plant,Wastewater,1510.47
2015,Sep,Ullrich,Water,1951.07
2015,Sep,Davis,Water,1996.46
2015,Sep,Water Treatment Plant 4,Water,672.8
2015,Oct,Walnut Creek Plant,Wastewater,1842.59
2015,Oct,SAR Plant,Wastewater,1421.64
2015,Oct,Davis,Water,1907.74
2015,Oct,Water Treatment Plant 4,Water,650.1
2015,Oct,Ullrich,Water,1910.88
2015,Nov,Walnut Creek Plant,Wastewater,2175.64
2015,Nov,SAR Plant,Wastewater,1557.58
2015,Nov,Ullrich,Water,1456.61
2015,Nov,Davis,Water,1446.51
2015,Nov,Water Treatment Plant 4,Water,479.8
2015,Dec,Walnut Creek Plant,Wastewater,2260.24
2015,Dec,SAR Plant,Wastewater,1506.22
2015,Dec,Water Treatment Plant 4,Water,639.46
2015,Dec,Ullrich,Water,1530.84
2015,Dec,Davis,Water,1100.9
2016,Jan,Walnut Creek Plant,Wastewater,1918.57
2016,Jan,SAR Plant,Wastewater,1384.25
2016,Jan,Water Treatment Plant 4,Water,667.05
2016,Jan,Ullrich,Water,1430.02
2016,Jan,Davis,Water,1194.1
2016,Feb,Walnut Creek Plant,Wastewater,1580.85
2016,Feb,SAR Plant,Wastewater,1261.13
2016,Feb,Davis,Water,1026.54
2016,Feb,Ullrich,Water,1524.37
2016,Feb,Water Treatment Plant 4,Water,732.52
2016,Mar,Walnut Creek Plant,Wastewater,2013.97
2016,Mar,SAR Plant,Wastewater,1535.46
2016,Mar,Ullrich,Water,1664.42
2016,Mar,Davis,Water,1245.25
2016,Mar,Water Treatment Plant 4,Water,655.7
2016,Apr,Walnut Creek Plant,Wastewater,2018.4
