Year,Month,Plant,Type of Plant,kWh per MG Treated
2018,Aug,Davis,Water,1809.04
2018,Jul,Walnut Creek Plant,Wastewater,1971
2018,Jul,Davis,Water,2003.03
2018,Jan,Water Treatment Plant 4,Water,1891.15
2018,Feb,Water Treatment Plant 4,Water,1920.62
2018,May,Walnut Creek Plant,Wastewater,1892
2018,Jul,Water Treatment Plant 4,Water,1983.17
2018,Aug,Water Treatment Plant 4,Water,1969.97
2018,Jun,Walnut Creek Plant,Wastewater,2001
2017,Dec,SAR Plant,Wastewater,2219
2017,Nov,SAR Plant,Wastewater,2660
2017,Dec,Ullrich,Water,1937.79
2018,Jun,Ullrich,Water,1756.16
2018,Mar,Water Treatment Plant 4,Water,1848.58
2017,Oct,Ullrich,Water,1780.01
2018,Feb,SAR Plant,Wastewater,2513
2018,Aug,Ullrich,Water,1723.35
2017,Dec,Davis,Water,1192.98
2018,Apr,Walnut Creek Plant,Wastewater,1611
2018,Jan,SAR Plant,Wastewater,2127
2018,Apr,SAR Plant,Wastewater,2357
