year,month,day,hour,minute,kwm2,temp,rh,pressure_Hg,windspeed_mph,precipitation_in
1999,6,1,10,0,748,28.32,64.7,29.85,15,0
1999,6,1,10,5,760,28.55,64.29,29.87,15,0
1999,6,1,10,10,771,28.76,63,29.85,17,0
1999,6,1,10,15,779,28.63,63.37,29.86,14,0
1999,6,1,10,20,788,28.73,63.2,29.88,15,0
1999,6,1,10,25,796,28.94,63.01,29.9,11,0
1999,6,1,10,30,804,29.16,62.07,29.9,15,0
1999,6,1,10,35,814,29.31,61.24,,10,
1999,6,1,10,40,824,29.34,61.2,,,
1999,6,1,10,45,833,29.36,61.29,29.91,13,0
1999,6,1,10,50,840,29.38,60.73,29.88,15,0
1999,6,1,10,55,847,29.47,60.42,,15,
1999,6,1,11,0,856,29.71,58.35,29.87,16,0
1999,6,1,11,5,861,29.77,57.26,,15,
1999,6,1,11,10,870,29.96,57.41,,17,
1999,6,1,11,15,874,30.14,56.91,29.86,15,0
1999,6,1,11,20,879,30.28,55.9,29.87,16,0
1999,6,1,11,25,886,30.57,53.72,29.88,13,0
1999,6,1,11,30,888,30.3,53.49,,11,
1999,6,1,11,35,889,30.51,55.06,29.9,10,0
1999,6,1,11,40,894,30.85,54.59,29.9,15,0
1999,6,1,11,45,898,31.03,53.59,29.91,17,0
1999,6,1,11,50,901,30.85,53.3,,13,
1999,6,1,11,55,902,30.6,54.43,29.91,14,0
1999,6,1,12,0,906,30.96,53.45,29.91,21,0
1999,6,1,12,5,905,31.22,52.48,29.91,16,0
1999,6,1,12,10,905,31.24,52.05,29.92,11,0
1999,6,1,12,15,904,31.14,52.9,29.88,18,0
1999,6,1,12,20,903,31.31,52.66,29.86,22,0
1999,6,1,12,25,907,31.32,52.78,29.84,19,0
1999,6,1,12,30,907,31.44,51.87,29.84,14,0
1999,6,1,12,35,908,31.66,52.04,29.84,19,0
1999,6,1,12,40,896,31.61,52.57,29.86,13,0
1999,6,1,12,45,901,31.82,53.45,29.86,11,0
1999,6,1,12,50,908,31.68,54.97,29.88,10,0
1999,6,1,12,55,911,31.67,53.82,29.92,11,0
1999,6,1,13,0,909,31.59,54.93,29.95,10,0
1999,6,1,13,5,904,31.58,55.53,29.98,8,0
1999,6,1,13,10,899,31.69,55.19,,,
1999,6,1,13,15,894,31.88,54.8,29.99,7,0
1999,6,1,13,20,893,31.95,52.12,,5,
1999,6,1,13,25,890,31.99,52.77,29.97,7,0
1999,6,1,13,30,888,32.02,52.82,,8,
1999,6,1,13,35,883,31.83,52.97,29.96,7,0
1999,6,1,13,40,877,32.17,51.52,29.96,7,0
1999,6,1,13,45,873,32.19,51.71,,3,
1999,6,1,13,50,870,32.46,51.25,29.98,3,0
1999,6,1,13,55,863,32.36,51.24,,0,
1999,6,1,14,0,856,32.48,50.62,29.96,7,0
1999,6,1,14,5,844,32.58,51.12,,3,
1999,6,1,14,10,839,32.65,50.17,29.98,5,0
1999,6,1,14,15,833,32.43,50.82,29.99,9,0
1999,6,1,14,20,824,32.43,51.2,,8,
1999,6,1,14,25,816,32.58,50.44,29.99,7,0
1999,6,1,14,30,806,32.53,50.69,,7,
1999,6,1,14,35,799,32.62,49.65,,8,
1999,6,1,14,40,787,32.7,50.35,29.99,14,0
1999,6,1,14,45,778,32.65,49.91,30.01,9,0
1999,6,1,14,50,767,32.61,50.88,,10,
1999,6,1,14,55,757,32.54,51.2,,9,
1999,6,1,15,0,747,32.89,49.69,,11,
1999,6,1,15,5,736,32.53,50.1,30,14,0
1999,6,1,15,10,724,32.64,49.99,30,9,0
1999,6,1,15,15,712,32.78,50.29,29.97,13,0
1999,6,1,15,20,700,32.72,50.91,29.95,13,0
1999,6,1,15,25,688.8,33.02,48.71,29.93,13,0
1999,6,1,15,30,674.8,32.91,50.27,29.92,14,0
1999,6,1,15,35,663.5,32.8,51.54,29.91,16,0
1999,6,1,15,40,650.7,32.74,51.82,29.93,10,0
1999,6,1,15,45,635.1,32.53,51.82,29.93,9,0
1999,6,1,15,50,622.2,32.6,51.61,29.95,8,0
1999,6,1,15,55,608.2,32.52,51.6,29.96,11,0
1999,6,1,16,0,595.8,32.79,50.46,29.99,8,0
1999,6,1,16,5,580.8,32.72,51.04,30.01,6,0
1999,6,1,16,10,564.2,32.65,51.55,,,
1999,6,1,16,15,549.2,32.48,51.74,30.04,7,0
1999,6,1,16,20,531.2,32.7,51.96,30.01,3,0
1999,6,1,16,25,516.5,32.77,51.98,30.03,0,0
1999,6,1,16,30,503.9,32.64,52.42,30.01,7,0
1999,6,1,16,35,487.1,32.68,54.7,30,3,0
1999,6,1,16,40,470.4,32.73,55.15,30.01,0,0
1999,6,1,16,45,456.5,32.74,54.69,30.04,0,0
1999,6,1,16,50,439.2,32.6,53.95,,0,
1999,6,1,16,55,419.8,32.28,55.4,,0,
1999,6,1,17,0,403.8,32.24,56.99,30.03,0,0
1999,6,1,17,5,386.9,32.35,57.32,,0,
1999,6,1,17,10,369.7,32.32,57.05,,0,
1999,6,1,17,15,355.9,32.32,57.07,30.05,3,0
1999,6,1,17,20,309.6,32.29,56.66,,3,
1999,6,1,17,25,301.8,32.12,56.77,30.04,6,0
1999,6,1,17,30,305.4,32.05,57.51,30.03,6,0
1999,6,1,17,35,288.1,32.09,56.67,30.03,9,0
1999,6,1,17,40,272.6,32.03,56.91,30.04,8,0
1999,6,1,17,45,259.1,31.81,57.25,30.01,8,0
1999,6,1,17,50,242.9,31.67,57.81,29.98,9,0
1999,6,1,17,55,226,31.79,57.74,29.96,8,0
1999,6,1,18,0,212.6,31.85,57.38,29.94,8,0
1999,6,1,18,5,198.9,31.71,58.22,29.93,7,0
1999,6,1,18,10,181.2,31.65,58.09,29.94,8,0
1999,6,1,18,15,165.9,31.43,58.49,29.93,6,0
1999,6,1,18,20,149.9,31.37,59.68,,14,
1999,6,1,18,25,133.1,31.33,60.05,,13,
1999,6,1,18,30,119.9,31.27,61.28,29.96,10,0
1999,6,1,18,35,106,31.16,62.35,29.98,5,0
1999,6,1,18,40,92.9,30.92,64.28,29.99,3,0
1999,6,1,18,45,79.5,30.72,65.52,30,0,0
1999,6,1,18,50,65.63,30.6,66.06,,,
1999,6,1,18,55,52.9,30.43,67.05,30.01,5,0
1999,6,1,19,0,41.26,30.27,67.61,29.98,3,0
1999,6,1,19,5,31.31,30.21,67.36,29.96,0,0
1999,6,1,19,10,23.06,30.16,67.47,29.96,0,0
1999,6,1,19,15,16.47,30.06,68.2,29.95,3,0
1999,6,1,19,20,11.17,29.77,69.35,,0,
1999,6,1,19,25,7.09,29.61,70.1,,0,
1999,6,1,19,30,4.07,29.54,70.2,29.95,0,0
1999,6,1,19,35,2.35,29.41,70.6,29.96,0,
1999,6,1,19,40,1.26,29.26,71.1,29.97,0,0
1999,6,1,19,45,0.55,29.21,71.2,,0,
1999,6,1,19,50,0.3,29.09,71.7,29.96,0,0
1999,6,1,19,55,0.26,29.02,71.6,,5,
1999,6,1,20,0,0.25,28.93,71.8,29.98,5,0
1999,6,1,20,5,0.22,28.8,72,,6,
1999,6,1,20,10,0.24,28.7,72.2,29.97,5,0
1999,6,1,20,15,0.27,28.63,72.6,,6,
1999,6,1,20,20,0.24,28.5,73.4,29.97,8,0
1999,6,1,20,25,0.25,28.36,73.9,29.96,6,0
1999,6,1,20,30,0.24,28.26,74.6,29.94,7,0
1999,6,1,20,35,0.24,28.13,75.1,29.91,5,0
1999,6,1,20,40,0.27,28.04,75.4,29.89,7,0
1999,6,1,20,45,0.25,27.95,75.7,29.86,3,0
1999,6,1,20,50,0.23,27.78,76.2,29.86,15,0
1999,6,1,20,55,0.24,27.68,77.1,29.86,16,0
1999,6,1,21,0,0.24,27.62,77.7,29.87,16,
1999,6,1,21,5,0.2,27.57,78.4,29.89,11,0
1999,6,1,21,10,0.2,27.45,79.1,29.88,17,0
1999,6,1,21,15,0.2,27.36,79.8,29.88,8,0
1999,6,1,21,20,0.2,27.23,80.5,29.88,9,0
1999,6,1,21,25,0.17,27.12,81.3,29.9,3,0
1999,6,1,21,30,0.2,27.07,81.5,29.9,3,0
1999,6,1,21,35,0.18,26.98,82.1,29.91,0,
1999,6,1,21,40,0.16,26.93,82.3,,,
1999,6,1,21,45,0.18,26.89,82.5,29.92,3,0
1999,6,1,21,50,0.19,26.79,83.1,29.9,0,0
1999,6,1,21,55,0.14,26.74,83.5,29.89,0,0
1999,6,1,22,0,0.1,26.66,83.6,29.89,0,0
1999,6,1,22,5,0.16,26.6,84.3,,0,
1999,6,1,22,10,0.11,26.51,84.3,29.89,0,0
1999,6,1,22,15,0.11,26.42,84.7,,0,
1999,6,1,22,20,0.11,26.35,84.9,,0,
1999,6,1,22,25,0.09,26.26,85.1,29.91,3,0
1999,6,1,22,30,0.12,26.23,85.5,29.92,5,0
1999,6,1,22,35,0.11,26.17,85.4,,3,
1999,6,1,22,40,0.13,26.08,85.7,,5,
1999,6,1,22,45,0.11,26.01,86.3,29.93,5,0
1999,6,1,22,50,0.13,25.97,86.5,,7,
1999,6,1,22,55,0.11,25.88,87.1,,7,0
1999,6,1,23,0,0.09,25.69,87.7,,9,
1999,6,1,23,5,0.1,25.53,88.6,29.93,6,0
1999,6,1,23,10,0.11,25.44,89.6,,8,
1999,6,1,23,15,0.06,25.36,89.9,29.91,13,0
1999,6,1,23,20,0.06,25.32,90.6,29.9,10,0
1999,6,1,23,25,0.05,25.33,90.8,29.87,9,0
1999,6,1,23,30,0.07,25.28,91.1,29.85,10,0
1999,6,1,23,35,0.07,25.2,91.3,29.83,16,0
1999,6,1,23,40,0.07,25.18,91.6,29.83,14,0
1999,6,1,23,45,0.04,25.18,91.8,29.82,13,0
1999,6,1,23,50,0.05,25.21,92,29.82,13,0
1999,6,1,23,55,0.07,25.16,92.1,29.84,5,0
1999,6,2,0,0,0.05,25.18,92,29.9,5,0
1999,6,2,0,5,0.08,25.2,92.4,29.88,7,0
1999,6,2,0,10,0.15,25.23,92.4,,,
1999,6,2,0,15,0.05,25.21,92.2,29.89,6,0
1999,6,2,0,20,0.08,25.22,92,29.88,5,0
1999,6,2,0,25,0.04,25.2,92.1,29.87,5,0
1999,6,2,0,30,0.04,25.19,91.8,29.87,3,0
1999,6,2,0,35,0.04,25.24,91.7,29.87,0,0
1999,6,2,0,40,0.06,25.26,91.6,,0,
1999,6,2,0,45,0.04,25.29,91.6,,5,
1999,6,2,0,50,0.04,25.31,91.5,29.88,0,0
1999,6,2,0,55,0.04,25.25,91.8,29.91,3,0
1999,6,2,1,0,0.04,25.23,91.8,,0,
1999,6,2,1,5,0.01,25.15,92.2,,0,
1999,6,2,1,10,0.04,25.11,92.6,,0,
1999,6,2,1,15,0.07,25.08,92.7,29.91,0,0
1999,6,2,1,20,0.04,25.14,92.6,,5,
1999,6,2,1,25,0.05,25.21,92,,5,
1999,6,2,1,30,0.05,25.23,91.2,,3,
1999,6,2,1,35,0.07,25.27,90.9,29.93,6,0
1999,6,2,1,40,0.03,25.32,90.6,,5,
1999,6,2,1,45,0.04,25.31,90.7,29.93,8,0
1999,6,2,1,50,0.03,25.26,90.7,29.93,8,0
1999,6,2,1,55,0.04,25.26,90.6,29.92,10,0
1999,6,2,2,0,0.02,25.29,90.9,29.9,13,
1999,6,2,2,5,0.04,25.29,90.2,29.92,6,0
1999,6,2,2,10,0.04,25.28,90.5,29.88,10,0
1999,6,2,2,15,0.04,25.28,90.9,29.86,11,0
1999,6,2,2,20,0.04,25.26,90.7,29.84,13,0
1999,6,2,2,25,0.04,25.2,91.3,29.81,10,0
1999,6,2,2,30,0.03,25.19,91.4,29.79,14,0
1999,6,2,2,35,0.09,25.17,92,29.82,10,0
1999,6,2,2,40,0.07,25.13,92.1,29.82,13,0
1999,6,2,2,45,0.03,25.13,92.3,29.83,8,0
1999,6,2,2,50,0.03,25.08,92.1,29.85,11,0
1999,6,2,2,55,0.04,25.08,92,29.88,7,0
1999,6,2,3,0,0.03,25.09,91.6,29.9,7,0
1999,6,2,3,5,0.02,25.13,91.7,,,
1999,6,2,3,10,0.07,25.07,91.5,29.91,6,0
1999,6,2,3,15,0.04,25.07,91.1,29.9,0,0
1999,6,2,3,20,0.04,25.12,91.2,,0,
1999,6,2,3,25,0.03,25.08,91.8,29.91,0,0
1999,6,2,3,30,0.04,25.03,92.2,,3,
1999,6,2,3,35,0.03,24.96,92.6,,3,
1999,6,2,3,40,0.04,24.89,93.4,29.9,0,0
1999,6,2,3,45,0.04,24.82,94.1,,3,
1999,6,2,3,50,0.03,24.74,94.2,,3,
1999,6,2,3,55,0.02,24.69,94.5,,0,
1999,6,2,4,0,0.03,24.66,94.6,29.91,0,0
1999,6,2,4,5,0.02,24.63,94.7,29.93,0,0
1999,6,2,4,10,0.02,24.6,95,29.96,5,0
1999,6,2,4,15,0.02,24.6,95.2,,3,
1999,6,2,4,20,0.02,24.57,95.2,29.95,6,0
1999,6,2,4,25,0.04,24.55,95.6,,0,
1999,6,2,4,30,0,24.51,95.5,,5,
1999,6,2,4,35,0.03,24.5,95.5,29.97,8,0
1999,6,2,4,40,0.02,24.48,95.5,,5,
1999,6,2,4,45,0.03,24.46,95.6,29.95,3,0
1999,6,2,4,50,0.01,24.42,95.8,,7,
1999,6,2,4,55,0.03,24.4,95.9,,7,
1999,6,2,5,0,0.02,24.41,95.9,29.93,7,0
1999,6,2,5,5,0.02,24.4,95.9,29.9,14,0
1999,6,2,5,10,0.07,24.39,95.8,29.91,13,0
1999,6,2,5,15,0.2,24.4,95.7,29.88,10,0
1999,6,2,5,20,0.54,24.42,95.4,29.87,9,0
1999,6,2,5,25,1.25,24.4,95.3,29.85,7,0
1999,6,2,5,30,2.91,24.39,95.6,29.84,7,0
1999,6,2,5,35,4.72,24.36,95.9,29.82,8,0
1999,6,2,5,40,7.24,24.39,96,29.84,7,0
1999,6,2,5,45,11.08,24.36,96,,18,
1999,6,2,5,50,14.37,24.37,96,29.84,21,0
1999,6,2,5,55,21.55,24.43,95.4,29.87,9,0
1999,6,2,6,0,32.94,24.48,94.8,29.89,9,0
1999,6,2,6,5,46.56,24.52,94.4,29.93,0,0
1999,6,2,6,10,62.3,24.49,94.4,29.93,3,0
1999,6,2,6,15,81.9,24.53,94.5,,,
1999,6,2,6,20,92.9,24.56,94,29.94,0,0
1999,6,2,6,25,88.4,24.63,93.7,,0,
1999,6,2,6,30,101.3,24.73,93.1,,0,
1999,6,2,6,35,153.8,24.85,92.5,,0,
1999,6,2,6,40,147.5,24.99,92.1,29.93,0,
1999,6,2,6,45,163.8,25.05,91.7,,0,0
1999,6,2,6,50,164.6,25.2,90.8,,0,
1999,6,2,6,55,130.9,25.23,90.1,29.92,0,0
1999,6,2,7,0,118.3,25.21,90,29.91,0,0
1999,6,2,7,5,149.4,25.09,89.7,,0,
1999,6,2,7,10,189.3,25.11,90.1,,0,
1999,6,2,7,15,84.9,25.18,89.7,29.92,0,0
1999,6,2,7,20,98.7,25.19,89.3,,0,
1999,6,2,7,25,125.4,25.22,89,29.94,0,0
1999,6,2,7,30,128.1,25.26,88.7,,0,
1999,6,2,7,35,139.4,25.26,88.7,29.95,0,0
1999,6,2,7,40,234.4,25.22,88.2,29.95,6,0
1999,6,2,7,45,211.3,25.24,87.7,,7,
1999,6,2,7,50,271.3,25.25,87.8,,9,
1999,6,2,7,55,262.2,25.29,87.1,29.95,7,
1999,6,2,8,0,286.4,25.43,86.3,,9,T
1999,6,2,8,5,314.2,25.57,85.5,29.94,14,0
1999,6,2,8,10,348.2,25.65,85,29.96,10,0
1999,6,2,8,15,318.2,25.74,84.2,29.97,8,0
1999,6,2,8,20,444,25.83,83.9,29.97,8,0
1999,6,2,8,25,271.6,25.91,83.2,29.94,3,0
1999,6,2,8,30,240.7,25.85,83.6,29.92,5,0
1999,6,2,8,35,281.4,25.88,83.6,29.88,3,0
1999,6,2,8,40,642,26.03,82.9,29.85,3,0
1999,6,2,8,45,379,26.49,80.8,29.85,9,0
1999,6,2,8,50,244.9,26.43,80.3,29.9,17,0
1999,6,2,8,55,250.4,26.29,80.7,,18,
1999,6,2,9,0,161,26.32,81,,13,
1999,6,2,9,5,296.4,26.35,80.5,,11,
1999,6,2,9,10,238.2,26.46,79.6,,6,
1999,6,2,9,15,206.5,26.6,79.1,29.95,3,0
1999,6,2,9,20,287.8,26.66,77.5,29.94,3,0
1999,6,2,9,25,286.5,26.72,75.8,29.96,3,0
1999,6,2,9,30,522.6,26.76,76.9,,5,
1999,6,2,9,35,573.5,26.98,75.6,29.96,5,0
1999,6,2,9,40,530.4,27.13,74.9,,5,
1999,6,2,9,45,798,27.47,71.5,,,
1999,6,2,9,50,776,27.8,69.57,29.95,5,0
1999,6,2,9,55,814,28.04,68.56,,0,
1999,6,2,10,0,958,28.39,67.46,29.96,5,0
1999,6,2,10,5,849,28.56,66.18,29.96,3,0
1999,6,2,10,10,869,28.48,65.88,29.96,3,0
1999,6,2,10,15,758,28.49,66.69,,3,
1999,6,2,10,20,659.3,28.52,63.79,,3,
1999,6,2,10,25,863,28.6,62.96,29.94,0,0
1999,6,2,10,30,590.2,28.64,64.69,29.93,5,0
1999,6,2,10,35,647.2,28.77,64.06,29.95,3,0
1999,6,2,10,40,747,28.86,63.08,29.93,5,0
1999,6,2,10,45,748,29.13,61.58,29.94,7,0
1999,6,2,10,50,583.2,29.07,62.09,29.96,3,0
1999,6,2,10,55,832,28.98,62.39,29.98,0,0
1999,6,2,11,0,958,29.18,61.78,29.97,7,0
1999,6,2,11,5,688.9,29.21,62.26,29.96,6,
1999,6,2,11,10,934,29.07,62.77,29.98,0,0
1999,6,2,11,15,581.7,29.24,62.62,29.96,6,
1999,6,2,11,20,981,29.31,62.21,29.92,13,0
1999,6,2,11,25,775,29.47,61.61,29.94,0,
1999,6,2,11,30,606.6,29.43,61.29,,10,
1999,6,2,11,35,787,29.44,62.28,,8,
1999,6,2,11,40,1011,29.64,60.97,,5,0.07
1999,6,2,11,45,846,29.62,59.97,29.95,10,
1999,6,2,11,50,509.8,29.78,59.85,29.96,0,
1999,6,2,11,55,744,29.9,60.02,29.97,8,T
1999,6,2,12,0,718,30.1,58.53,29.98,8,0
1999,6,2,12,5,784,30.28,57.75,29.95,11,
1999,6,2,12,10,711,30.29,59.24,29.97,6,0
1999,6,2,12,15,902,30.18,59.02,29.98,3,0
1999,6,2,12,20,921,30.41,58.04,29.98,3,0
1999,6,2,12,25,860,30.34,56.44,30.02,3,0
1999,6,2,12,30,637.6,30.15,57.03,,,
1999,6,2,12,35,928,30.04,57.26,30.03,0,0
1999,6,2,12,40,786,30.25,57.5,30.03,0,0
1999,6,2,12,45,918,30.43,56.07,30.01,0,0
1999,6,2,12,50,974,30.57,56.51,30.01,0,0
1999,6,2,12,55,822,30.66,55.71,30.01,0,0
1999,6,2,13,0,850,30.26,57.01,30.02,0,0
1999,6,2,13,5,852,30.23,57.78,30.04,6,0
1999,6,2,13,10,936,30.59,57.6,30.03,7,0
1999,6,2,13,15,907,30.96,55.27,,8,
1999,6,2,13,20,903,30.82,55.38,30.05,8,0
1999,6,2,13,25,594.9,30.83,55.98,,7,
1999,6,2,13,30,803,30.61,56.26,30.05,8,0
1999,6,2,13,35,631.8,30.56,57,30.04,7,0
1999,6,2,13,40,809,30.79,56.14,,10,
1999,6,2,13,45,863,30.95,56.25,30.04,10,0
1999,6,2,13,50,860,31.24,54.6,30.03,11,0
1999,6,2,13,55,767,31.28,54.18,30,13,0.05
1999,6,2,14,0,737,30.9,54.7,29.98,10,T
1999,6,2,14,5,679.9,30.89,53.68,29.96,10,0
1999,6,2,14,10,758,30.68,55.44,29.95,16,0
1999,6,2,14,15,748,30.75,56.39,29.94,11,0
1999,6,2,14,20,614.1,30.83,56.07,29.96,9,0
1999,6,2,14,25,701,30.82,55.44,29.95,10,0
1999,6,2,14,30,718,30.91,55.19,29.96,7,0
1999,6,2,14,35,779,31,54,29.99,5,0
1999,6,2,14,40,525.2,31.1,55.42,30.01,0,0
1999,6,2,14,45,500.7,31.18,55.24,30.01,0,0
1999,6,2,14,50,646.7,31.16,55.43,,,
1999,6,2,14,55,655.9,31.03,54.29,30.02,3,0
1999,6,2,15,0,551.9,30.85,54.99,30,0,0
1999,6,2,15,5,460.6,30.84,56.1,29.99,6,0
1999,6,2,15,10,330.5,31.02,55.97,29.97,8,0
1999,6,2,15,15,325,30.78,55.59,29.96,10,0
1999,6,2,15,20,348.6,30.74,56.25,29.96,13,0
1999,6,2,15,25,404.3,30.74,56.66,29.99,11,0
1999,6,2,15,30,396,30.8,57.5,29.98,9,0
1999,6,2,15,35,379.9,30.82,57.35,29.99,10,0
1999,6,2,15,40,366.7,30.74,57.44,29.99,9,0
