%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1999 152 3 25 -999.00 -999.00 -999.00 -999.00 -999.00 3.13 93.10 24.75 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.68 93.40 24.77 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 35 -999.00 -999.00 -999.00 -999.00 -999.00 2.68 93.30 24.79 101.32 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 40 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 93.50 24.73 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 45 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 93.70 24.76 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 50 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 93.60 24.77 101.35 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 55 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 93.50 24.75 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 93.20 24.80 101.46 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 5 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 92.30 24.84 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 10 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 92.20 24.86 101.49 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 15 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 91.70 24.88 101.49 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 20 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 91.60 24.94 101.52 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 25 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 91.60 24.94 101.52 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 91.50 24.94 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 35 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 91.50 24.91 101.39 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 40 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 91.90 24.91 101.35 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 45 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 92.00 24.93 101.32 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 50 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 91.60 24.87 101.29 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 4 55 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 91.90 24.85 101.29 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 91.90 24.83 101.32 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 5 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 91.90 24.80 101.25 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 10 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 91.90 24.79 101.29 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 15 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 92.10 24.78 101.39 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 20 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 92.00 24.74 101.49 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 25 -999.00 -999.00 -999.00 -999.00 -999.00 2.24 92.20 24.70 101.46 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 99999.00 92.30 24.68 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 35 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 92.40 24.65 101.46 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 40 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 92.50 24.63 101.42 0.00 0.01 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 45 -999.00 -999.00 -999.00 -999.00 -999.00 3.13 92.70 24.61 99999.00 99999.00 0.01 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 50 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 92.80 24.55 99999.00 99999.00 0.02 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 5 55 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 92.90 24.52 101.39 0.00 0.03 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 92.80 24.56 101.42 0.00 0.03 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 5 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 92.70 24.56 101.42 0.00 0.04 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 10 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 92.80 24.53 101.42 0.00 0.04 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 15 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 93.00 24.50 99999.00 99999.00 0.04 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 20 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 93.10 24.49 101.52 0.00 0.04 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 25 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 93.30 24.50 101.52 0.00 0.06 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
